Time: 1.99, Note: d
Time: 2.36, Note: d
Time: 2.51, Note: j
Time: 2.92, Note: f
Time: 3.12, Note: k
Time: 3.64, Note: k
Time: 3.79, Note: d
Time: 4.25, Note: j
Time: 4.44, Note: f
Time: 4.89, Note: k
Time: 5.13, Note: d
Time: 5.31, Note: j
Time: 5.51, Note: f
Time: 5.68, Note: k
Time: 6.04, Note: k
Time: 6.20, Note: d
Time: 6.38, Note: j
Time: 6.53, Note: f
Time: 6.86, Note: k
Time: 7.04, Note: d
Time: 7.21, Note: j
Time: 7.37, Note: f
Time: 7.52, Note: k
Time: 7.67, Note: d
Time: 7.86, Note: j
Time: 8.03, Note: f
Time: 8.18, Note: k
Time: 8.31, Note: d
Time: 8.61, Note: j
Time: 8.80, Note: j
Time: 9.12, Note: f
Time: 9.56, Note: k
Time: 9.73, Note: k
Time: 10.26, Note: d
Time: 10.47, Note: d
Time: 10.98, Note: j
Time: 11.13, Note: j
Time: 11.83, Note: d
Time: 12.01, Note: j
Time: 12.16, Note: f
Time: 12.37, Note: k
Time: 12.54, Note: k
Time: 12.84, Note: d
Time: 12.96, Note: j
Time: 13.16, Note: f
Time: 13.54, Note: k
Time: 13.93, Note: k
Time: 14.09, Note: k
Time: 14.50, Note: d
Time: 14.91, Note: j
Time: 15.06, Note: f
Time: 15.59, Note: j
Time: 15.85, Note: d
Time: 16.00, Note: k
Time: 16.18, Note: f
Time: 16.34, Note: j
Time: 16.51, Note: d
Time: 16.64, Note: k
Time: 16.82, Note: f
Time: 17.00, Note: j
Time: 17.15, Note: d
Time: 17.33, Note: k
Time: 17.57, Note: j
Time: 18.05, Note: j
Time: 18.19, Note: f
Time: 18.38, Note: j
Time: 18.62, Note: d
Time: 18.76, Note: k
Time: 18.95, Note: f
Time: 19.13, Note: j
Time: 19.29, Note: d
Time: 19.42, Note: k
Time: 19.61, Note: f
Time: 19.77, Note: j
Time: 22.43, Note: d
Time: 23.00, Note: j
Time: 23.17, Note: f
Time: 23.58, Note: k
Time: 23.78, Note: d
Time: 23.94, Note: j
Time: 24.13, Note: f
Time: 24.27, Note: k
Time: 24.47, Note: d
Time: 24.65, Note: j
Time: 24.82, Note: f
Time: 24.98, Note: k
Time: 25.16, Note: d
Time: 25.60, Note: j
Time: 25.78, Note: j
Time: 26.30, Note: j
Time: 26.48, Note: f
Time: 26.64, Note: k
Time: 26.82, Note: d
Time: 27.00, Note: j
Time: 27.19, Note: f
Time: 27.35, Note: k
Time: 27.53, Note: d
Time: 27.70, Note: j
Time: 27.90, Note: f
Time: 28.07, Note: k
Time: 28.26, Note: d
Time: 28.46, Note: j
Time: 28.64, Note: f
Time: 28.80, Note: k
Time: 29.00, Note: k
Time: 29.17, Note: k
Time: 29.37, Note: d
Time: 29.55, Note: j
Time: 29.71, Note: f
Time: 30.00, Note: k
Time: 30.16, Note: d
Time: 30.35, Note: j
Time: 30.56, Note: f
Time: 30.71, Note: k
Time: 30.91, Note: d
Time: 31.09, Note: j
Time: 31.29, Note: f
Time: 31.44, Note: k
Time: 31.60, Note: d
Time: 31.78, Note: j
Time: 31.97, Note: j
Time: 32.15, Note: j
Time: 32.63, Note: k
Time: 32.84, Note: f
Time: 33.02, Note: j
Time: 33.24, Note: d
Time: 33.41, Note: k
Time: 33.66, Note: f
Time: 33.85, Note: j
Time: 34.03, Note: d
Time: 34.20, Note: k
Time: 34.47, Note: f
Time: 34.60, Note: j
Time: 34.84, Note: j
Time: 35.29, Note: j
Time: 35.63, Note: j
Time: 35.79, Note: d
Time: 36.28, Note: d
Time: 36.45, Note: k
Time: 36.69, Note: k
Time: 36.86, Note: f
Time: 37.04, Note: j
Time: 37.21, Note: d
Time: 37.37, Note: k
Time: 37.54, Note: f
Time: 38.17, Note: j
Time: 38.40, Note: j
Time: 39.00, Note: d
Time: 39.17, Note: d
Time: 39.70, Note: k
Time: 39.76, Note: j
Time: 40.01, Note: d
Time: 40.34, Note: j
Time: 40.51, Note: f
Time: 40.83, Note: k
Time: 41.03, Note: d
Time: 41.17, Note: k
Time: 41.29, Note: d
Time: 41.43, Note: k
Time: 41.55, Note: d
Time: 41.70, Note: k
Time: 41.82, Note: d
Time: 42.23, Note: f
Time: 42.26, Note: k
Time: 43.12, Note: d
Time: 43.13, Note: k
Time: 43.81, Note: f
Time: 43.81, Note: j
Time: 44.35, Note: k
Time: 44.38, Note: d
Time: 44.52, Note: k
Time: 44.95, Note: j
Time: 45.18, Note: j
Time: 45.60, Note: d
Time: 45.62, Note: k
Time: 45.81, Note: k
Time: 45.82, Note: d
Time: 46.14, Note: f
Time: 46.16, Note: j
Time: 46.56, Note: d
Time: 46.57, Note: k
Time: 46.92, Note: j
Time: 47.08, Note: f
Time: 47.62, Note: j
Time: 47.82, Note: d
Time: 48.00, Note: k
Time: 48.14, Note: f
Time: 48.34, Note: j
Time: 48.52, Note: d
Time: 48.72, Note: k
Time: 48.87, Note: f
Time: 49.20, Note: j
Time: 49.21, Note: k
Time: 49.65, Note: d
Time: 49.79, Note: d
Time: 49.82, Note: f
Time: 50.26, Note: k
Time: 50.43, Note: k
Time: 50.94, Note: d
Time: 50.95, Note: f
Time: 51.14, Note: d
Time: 51.16, Note: f
Time: 51.50, Note: j
Time: 51.82, Note: f
Time: 52.06, Note: j
Time: 52.28, Note: d
Time: 52.50, Note: k
Time: 52.68, Note: f
Time: 52.92, Note: j
Time: 53.14, Note: d
Time: 53.34, Note: k
Time: 53.56, Note: f
Time: 53.81, Note: j
Time: 54.02, Note: d
Time: 54.25, Note: k
Time: 54.49, Note: f
Time: 55.04, Note: d
Time: 55.31, Note: k
Time: 55.57, Note: f
Time: 55.82, Note: j
Time: 56.03, Note: j
Time: 56.27, Note: j
Time: 56.51, Note: j
Time: 56.71, Note: d
Time: 56.94, Note: k
Time: 57.15, Note: f
Time: 57.35, Note: k
Time: 57.63, Note: j
Time: 57.84, Note: f
Time: 58.11, Note: d
Time: 58.31, Note: d
Time: 58.99, Note: d
Time: 59.01, Note: k
Time: 59.06, Note: f
Time: 59.06, Note: j
Time: 59.79, Note: d
Time: 59.84, Note: k
Time: 59.87, Note: f
Time: 59.91, Note: j
Time: 60.15, Note: j
Time: 60.32, Note: j
Time: 60.54, Note: j
Time: 60.76, Note: j
Time: 60.94, Note: j
Time: 61.13, Note: f
Time: 61.34, Note: d
Time: 61.54, Note: j
Time: 61.71, Note: f
Time: 62.00, Note: j
Time: 62.18, Note: f
Time: 62.38, Note: j
Time: 62.81, Note: j
Time: 63.00, Note: j
Time: 63.21, Note: f
Time: 63.40, Note: j
Time: 63.57, Note: f
Time: 63.72, Note: j
Time: 63.94, Note: f
Time: 64.11, Note: j
Time: 64.27, Note: j
Time: 64.61, Note: j
Time: 64.78, Note: j
Time: 65.03, Note: j
Time: 65.23, Note: d
Time: 65.41, Note: f
Time: 65.58, Note: j
