Time: 3.05, Note: j
Time: 3.20, Note: f
Time: 3.37, Note: k
Time: 3.49, Note: d
Time: 3.80, Note: f
Time: 3.84, Note: j
Time: 5.14, Note: d
Time: 5.15, Note: k
Time: 5.37, Note: d
Time: 5.41, Note: k
Time: 5.64, Note: j
Time: 5.66, Note: f
Time: 5.88, Note: j
Time: 5.89, Note: f
Time: 6.23, Note: d
Time: 6.25, Note: k
Time: 6.56, Note: f
Time: 6.59, Note: j
Time: 7.25, Note: k
Time: 7.40, Note: f
Time: 7.56, Note: j
Time: 7.96, Note: d
Time: 7.97, Note: k
Time: 8.18, Note: d
Time: 8.19, Note: k
Time: 8.42, Note: d
Time: 8.44, Note: k
Time: 8.66, Note: f
Time: 8.80, Note: j
Time: 9.06, Note: d
Time: 9.24, Note: k
Time: 10.66, Note: f
Time: 10.67, Note: j
Time: 10.86, Note: j
Time: 10.88, Note: f
Time: 11.13, Note: d
Time: 11.16, Note: k
Time: 11.36, Note: f
Time: 11.37, Note: j
Time: 11.74, Note: d
Time: 12.11, Note: k
Time: 12.73, Note: d
Time: 12.81, Note: k
Time: 12.90, Note: f
Time: 12.99, Note: j
Time: 13.12, Note: d
Time: 13.21, Note: k
Time: 13.24, Note: f
Time: 13.44, Note: d
Time: 13.49, Note: j
Time: 13.64, Note: f
Time: 13.77, Note: k
Time: 13.87, Note: f
Time: 14.02, Note: j
Time: 14.23, Note: d
Time: 14.49, Note: k
Time: 14.70, Note: f
Time: 14.72, Note: j
Time: 16.13, Note: d
Time: 16.14, Note: k
Time: 16.38, Note: d
Time: 16.39, Note: k
Time: 16.58, Note: f
Time: 16.61, Note: j
Time: 16.81, Note: f
Time: 16.84, Note: j
Time: 17.14, Note: d
Time: 17.15, Note: k
Time: 17.46, Note: f
Time: 17.47, Note: j
Time: 18.13, Note: f
Time: 18.14, Note: k
Time: 18.33, Note: f
Time: 18.35, Note: k
Time: 18.57, Note: d
Time: 18.57, Note: j
Time: 18.99, Note: d
Time: 19.04, Note: j
Time: 19.23, Note: f
Time: 19.36, Note: k
Time: 19.53, Note: d
Time: 19.70, Note: j
Time: 19.85, Note: f
Time: 20.03, Note: k
Time: 20.25, Note: d
Time: 20.29, Note: j
Time: 21.81, Note: f
Time: 21.84, Note: k
Time: 22.04, Note: f
Time: 22.09, Note: k
Time: 22.23, Note: k
Time: 22.24, Note: f
Time: 22.50, Note: j
Time: 22.54, Note: d
Time: 22.85, Note: d
Time: 22.88, Note: k
Time: 23.16, Note: f
Time: 23.22, Note: j
Time: 24.02, Note: d
Time: 24.09, Note: k
Time: 24.20, Note: f
Time: 24.29, Note: j
Time: 24.44, Note: d
Time: 24.52, Note: k
Time: 24.64, Note: f
Time: 24.75, Note: j
Time: 24.94, Note: d
Time: 25.11, Note: k
Time: 25.31, Note: f
Time: 25.43, Note: j
Time: 25.64, Note: f
Time: 25.80, Note: k
Time: 25.96, Note: f
Time: 26.08, Note: j
Time: 26.29, Note: f
Time: 26.47, Note: k
Time: 26.63, Note: f
Time: 26.80, Note: j
Time: 26.99, Note: d
Time: 27.17, Note: k
Time: 27.49, Note: j
Time: 27.68, Note: f
Time: 27.80, Note: k
Time: 27.91, Note: f
Time: 27.98, Note: j
Time: 28.16, Note: f
Time: 28.50, Note: j
Time: 28.80, Note: f
Time: 28.86, Note: j
Time: 28.97, Note: k
Time: 29.00, Note: f
Time: 29.10, Note: j
Time: 29.18, Note: k
Time: 29.20, Note: f
Time: 29.31, Note: j
Time: 29.35, Note: f
Time: 29.38, Note: k
Time: 29.53, Note: j
Time: 29.54, Note: f
Time: 29.64, Note: k
Time: 29.86, Note: f
Slider: StartTime: 27.18, EndTime: 29.89, Key: d
Time: 29.99, Note: j
Time: 30.22, Note: f
Time: 30.31, Note: k
Time: 30.43, Note: f
Time: 30.53, Note: j
Time: 30.66, Note: f
Time: 30.75, Note: j
Time: 30.86, Note: f
Time: 30.97, Note: j
Time: 31.09, Note: f
Time: 31.16, Note: j
Time: 31.31, Note: f
Time: 31.44, Note: k
Time: 31.55, Note: f
Time: 31.63, Note: k
Time: 31.73, Note: f
Time: 31.79, Note: j
Time: 31.89, Note: k
Time: 31.92, Note: f
Time: 32.04, Note: j
Time: 32.09, Note: f
Time: 32.10, Note: k
Time: 32.23, Note: j
Time: 32.28, Note: f
Time: 32.36, Note: k
Time: 32.41, Note: j
Time: 32.46, Note: f
Time: 32.72, Note: d
Time: 32.98, Note: k
Time: 33.09, Note: d
Time: 33.17, Note: f
Time: 33.29, Note: j
Time: 33.41, Note: d
Time: 33.52, Note: k
Time: 33.65, Note: f
Time: 33.73, Note: j
Time: 33.86, Note: d
Time: 33.97, Note: k
Time: 34.07, Note: f
Time: 34.32, Note: d
Time: 34.33, Note: j
Time: 34.50, Note: j
Time: 34.52, Note: d
Time: 34.70, Note: j
Time: 34.71, Note: d
Time: 34.94, Note: f
Time: 34.95, Note: k
Time: 35.29, Note: f
Time: 35.30, Note: j
Time: 35.94, Note: f
Time: 36.07, Note: j
Time: 36.17, Note: f
Time: 36.37, Note: j
Time: 36.54, Note: d
Time: 36.89, Note: j
Slider: StartTime: 36.91, EndTime: 37.29, Key: f
Time: 37.39, Note: j
Time: 37.58, Note: j
Time: 37.87, Note: d
Time: 38.00, Note: j
Time: 38.24, Note: f
Slider: StartTime: 35.59, EndTime: 38.38, Key: k
Time: 38.39, Note: j
Time: 38.55, Note: f
