Time: 0.76, Note: j
Time: 1.18, Note: d
Time: 1.22, Note: k
Time: 1.74, Note: f
Time: 1.78, Note: j
Time: 2.02, Note: d
Time: 2.02, Note: k
Time: 2.52, Note: d
Time: 2.53, Note: j
Time: 2.75, Note: d
Time: 2.98, Note: k
Time: 3.03, Note: d
Time: 3.20, Note: k
Time: 3.21, Note: d
Time: 3.40, Note: d
Time: 3.43, Note: j
Time: 3.64, Note: d
Time: 3.67, Note: k
Time: 3.88, Note: d
Time: 4.11, Note: d
Time: 4.14, Note: j
Time: 4.37, Note: k
Time: 4.42, Note: d
Time: 4.59, Note: d
Time: 4.60, Note: k
Time: 4.81, Note: d
Time: 4.85, Note: k
Time: 5.02, Note: d
Time: 5.07, Note: j
Time: 5.25, Note: d
Time: 5.30, Note: k
Time: 5.49, Note: d
Time: 5.51, Note: k
Time: 5.71, Note: d
Time: 5.76, Note: j
Time: 5.92, Note: d
Time: 5.97, Note: k
Time: 6.17, Note: d
Time: 6.20, Note: k
Time: 6.41, Note: f
Time: 6.44, Note: k
Time: 6.64, Note: f
Time: 6.69, Note: k
Time: 6.86, Note: f
Time: 6.92, Note: j
Time: 7.10, Note: f
Time: 7.15, Note: k
Time: 7.35, Note: f
Time: 7.38, Note: k
Time: 7.58, Note: f
Time: 7.61, Note: j
Time: 7.79, Note: f
Time: 7.81, Note: k
Time: 8.06, Note: k
Time: 8.19, Note: d
Time: 8.25, Note: k
Time: 8.49, Note: d
Time: 8.50, Note: j
Time: 8.70, Note: d
Time: 8.73, Note: j
Time: 8.92, Note: d
Time: 8.96, Note: k
Time: 9.15, Note: d
Time: 9.18, Note: k
Time: 9.38, Note: d
Time: 9.42, Note: j
Time: 9.60, Note: d
Time: 9.65, Note: k
Time: 9.83, Note: d
Time: 9.88, Note: k
Time: 10.07, Note: d
Time: 10.14, Note: j
Time: 10.29, Note: d
Time: 10.37, Note: k
Time: 10.53, Note: d
Time: 10.58, Note: k
Time: 10.76, Note: d
Time: 10.81, Note: j
Time: 10.98, Note: d
Time: 11.04, Note: k
Time: 11.25, Note: d
Time: 11.27, Note: k
Time: 11.48, Note: d
Time: 11.49, Note: j
Time: 11.70, Note: k
Time: 11.72, Note: f
