Time: 3.85, Note: d
Time: 4.82, Note: f
Time: 5.24, Note: j
Time: 6.65, Note: k
Time: 7.09, Note: d
Time: 7.59, Note: j
Time: 9.94, Note: d
Time: 11.57, Note: j
Time: 12.19, Note: f
Time: 12.38, Note: k
Time: 13.05, Note: d
Time: 13.38, Note: j
Time: 13.76, Note: f
Time: 13.95, Note: d
Time: 14.33, Note: k
Time: 14.77, Note: d
Time: 14.95, Note: f
Time: 15.26, Note: j
Time: 15.37, Note: k
Time: 15.63, Note: d
Time: 15.74, Note: f
Time: 15.92, Note: j
Time: 15.97, Note: k
Time: 16.23, Note: d
Time: 16.34, Note: f
Time: 16.97, Note: d
Time: 17.12, Note: f
Time: 17.32, Note: j
Time: 17.87, Note: d
Time: 18.29, Note: k
Time: 18.55, Note: k
Time: 19.07, Note: d
Time: 19.15, Note: j
Time: 19.32, Note: j
Time: 19.64, Note: f
Time: 20.01, Note: k
Time: 20.27, Note: k
Time: 20.85, Note: d
Time: 21.26, Note: j
Time: 21.69, Note: j
Time: 21.95, Note: j
Time: 22.48, Note: f
Time: 22.66, Note: d
Time: 22.92, Note: j
Time: 23.29, Note: j
Time: 23.66, Note: j
Time: 24.23, Note: d
Time: 24.33, Note: k
Time: 24.73, Note: f
Time: 25.07, Note: j
Time: 25.50, Note: j
Time: 25.95, Note: d
Time: 26.14, Note: k
Time: 26.25, Note: j
Time: 26.50, Note: f
Time: 26.59, Note: d
Time: 26.92, Note: j
Time: 27.17, Note: j
Time: 27.74, Note: f
Time: 28.06, Note: j
Time: 28.35, Note: d
Time: 28.86, Note: j
Time: 29.51, Note: j
Time: 29.63, Note: k
Time: 29.82, Note: d
Time: 29.96, Note: k
Time: 30.03, Note: f
Time: 30.20, Note: d
Time: 30.40, Note: j
Time: 30.79, Note: f
Time: 31.29, Note: k
Time: 31.41, Note: j
Time: 31.76, Note: d
Time: 31.96, Note: k
Time: 32.14, Note: k
Time: 32.53, Note: f
Time: 32.79, Note: j
Time: 33.23, Note: d
Time: 33.35, Note: k
Time: 33.52, Note: k
Time: 33.69, Note: k
Time: 33.85, Note: d
Time: 33.93, Note: f
Time: 33.95, Note: j
Time: 34.28, Note: j
Time: 34.44, Note: j
Time: 34.58, Note: j
Time: 34.73, Note: j
Time: 34.88, Note: j
Time: 35.02, Note: j
Time: 35.17, Note: j
Time: 35.33, Note: j
Slider: StartTime: 35.61, EndTime: 37.68, Key: j
Time: 38.45, Note: f
Time: 38.46, Note: j
Time: 38.65, Note: d
Time: 38.70, Note: k
Time: 38.97, Note: j
Time: 38.98, Note: d
Time: 39.27, Note: d
Time: 39.31, Note: k
Time: 39.31, Note: f
Time: 39.32, Note: j
Time: 39.72, Note: d
Time: 39.73, Note: f
Time: 39.74, Note: j
Time: 39.75, Note: k
Time: 40.24, Note: k
Time: 40.30, Note: j
Time: 40.45, Note: k
Time: 40.45, Note: j
Time: 40.55, Note: d
Time: 40.68, Note: f
Time: 40.82, Note: d
Time: 41.00, Note: j
Time: 41.34, Note: j
Time: 41.71, Note: f
Time: 41.86, Note: d
Time: 42.18, Note: d
Time: 42.37, Note: d
Time: 42.55, Note: d
Time: 42.77, Note: f
Time: 42.82, Note: j
Time: 43.22, Note: k
